,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
0,1,1,4.1,775,1,27,3628,2091,800.0,1,1
1,1,0,4.1,787,1,27,2945,922,800.0,1,1
2,1,0,3.8,918,1,22,1405,743,800.0,1,1
3,0,0,3.7,88,1,78,2747,2469,300.0,1,1
4,0,0,3.8,166,4,27,3431,2119,600.0,1,1
5,1,0,3.8,286,4,27,3310,1761,600.0,1,1
6,0,0,3.6,8,57,27,5228,2139,800.0,1,1
7,1,1,4.6,2556,1,29,1999,2246,600.0,2,1
8,1,0,4.0,324,1,19,3879,719,700.0,2,1
9,1,0,4.2,504,1,19,5172,744,550.0,2,1
10,1,0,4.1,402,1,19,5173,557,500.0,2,1
11,1,1,4.2,150,1,19,2900,719,600.0,2,1
12,1,1,4.2,164,1,19,1726,615,500.0,2,1
13,0,0,4.0,424,1,19,4454,622,450.0,2,1
14,1,0,3.8,918,1,22,1405,743,800.0,2,1
15,1,0,3.8,90,1,19,2172,557,650.0,2,1
16,1,0,3.9,133,1,19,2949,692,800.0,2,1
17,1,0,3.8,144,1,19,3624,817,700.0,2,1
18,0,0,3.9,93,1,19,941,713,300.0,2,1
19,1,0,3.1,13,1,19,5228,615,400.0,2,1
20,1,0,3.0,62,1,19,484,700,400.0,2,1
21,1,0,3.7,180,1,19,3856,759,500.0,2,1
22,0,0,3.6,28,1,19,5228,685,900.0,2,1
23,1,0,3.6,62,1,81,3626,1491,600.0,2,1
24,0,0,3.7,31,1,19,5228,557,300.0,2,1
25,0,0,3.2,11,1,19,5228,578,600.0,2,1
26,1,0,3.8,75,1,26,5228,771,200.0,2,1
27,0,0,3.3,4,1,19,5228,686,500.0,2,1
28,0,0,3.3,23,1,19,5228,685,550.0,2,1
29,0,0,3.8,148,4,29,3560,1830,550.0,2,1
30,1,0,4.0,219,4,19,3855,712,600.0,2,1
31,1,0,2.8,506,1,78,600,2021,500.0,3,1
32,1,0,3.9,35,1,39,5228,263,500.0,3,1
33,1,0,3.9,172,1,39,3414,2236,750.0,3,1
34,1,0,4.2,415,1,78,4296,1817,500.0,3,1
35,1,0,3.9,230,1,39,4070,388,650.0,3,1
36,1,0,2.8,91,1,78,5228,1888,400.0,3,1
37,1,0,4.2,1647,1,27,3263,956,600.0,3,1
38,1,0,4.4,4884,32,27,1246,2113,750.0,3,1
39,1,0,4.0,17,1,78,5228,2381,150.0,3,1
40,1,0,3.8,133,4,78,1803,2556,200.0,3,1
41,0,0,3.9,28,1,65,5228,2381,300.0,3,1
42,1,0,3.9,286,1,78,566,535,500.0,3,1
43,1,0,3.9,540,1,78,3352,2252,800.0,3,1
44,1,1,4.6,2556,1,29,1999,2246,600.0,3,1
45,0,0,3.8,36,1,39,4039,1996,400.0,3,1
46,1,0,3.6,244,49,78,259,1834,300.0,3,1
47,1,0,4.0,804,49,27,770,1866,450.0,3,1
48,1,0,3.7,679,68,27,2939,950,850.0,3,1
49,1,0,3.1,245,49,78,3542,1923,300.0,3,1
50,0,0,3.7,21,1,78,5228,1761,450.0,3,1
51,1,0,4.1,28,87,78,5228,1339,150.0,3,1
52,0,0,4.3,345,1,40,2343,1449,400.0,3,1
53,1,0,4.0,618,32,27,4029,472,750.0,3,1
54,0,0,4.0,1047,1,78,3639,1486,450.0,3,1
55,1,0,3.9,627,1,39,4415,1400,450.0,3,1
56,1,0,3.8,104,1,78,5228,429,300.0,3,1
57,1,1,4.2,354,1,27,4761,218,800.0,3,1
58,0,0,3.6,55,1,78,5228,1238,200.0,3,1
59,1,0,3.7,17,1,40,5228,1159,400.0,3,1
60,0,0,4.2,244,1,27,3646,1507,800.0,3,1
61,1,1,3.6,163,49,27,4590,1387,800.0,3,1
62,1,0,3.8,58,4,78,5228,792,150.0,3,1
63,0,1,4.0,808,1,27,4401,1834,850.0,3,1
64,0,0,3.7,78,1,3,5228,254,150.0,3,1
65,1,0,4.1,1720,4,78,2263,2055,400.0,3,1
66,1,0,3.6,34,32,78,5228,2381,100.0,3,1
67,0,0,4.1,868,1,73,232,1074,1.2,3,1
68,0,0,3.8,39,1,0,5228,263,300.0,3,1
69,1,0,3.2,71,4,78,5228,536,600.0,3,1
70,1,0,3.6,6,1,92,5228,1502,500.0,3,1
